地址	电话	传真	Email	公司网址	主营产品	企业名称
河北省大城县田庄工业区	86-0316-3267476	86-0316-3267476	haoyakm@126.com	http://www.bf35.com/st22459	"矿棉吸音板,铝天花板,铝条扣天花板,铁格栅天花,铝格栅天花,U型挂片,冲孔铝天花板,烤漆龙骨"	河北兴旺装饰建材厂
山东省淄博市周村区王村	86-0533-6684299	86-0533-6684299	guixiabi@jinpengcarbon.com	www.jinpengcarbon.com	"石墨棒,石墨转子,石墨板,淄博石墨块,石墨管,碳管炉石墨件,石墨阀门"	淄博锦鹏碳素有限公司
广州市番禺区石楼镇官桥村庙仔口工业区之三	86-020-84536565	0086-020-84536565	13712341876@163.com	广州富腾建材	"铝单板,铝窗花,铝花格,弧形铝方通,铝方管,铝圆管,铝网板,铝格栅"	广州富腾建材科技有限公司
河南省郑州市上街区	86-0371-85702226	86-0371-85702226	13803852715@139.com	http://www.yanfenglvcai.com	"工业铝型材,电梯型材,汽车窗框型材,散热器型材,民用型材,晾衣架型材,各种装饰型材,门窗型材"	郑州市颜丰铝材有限公司
山东省济南市平阴县西三里开发区湖溪街1号	86-0531-87851528	86-0531-87855618	hengshungs@126.com	http://www.hengshunlvye.com	"合金铝板，彩涂合金铝卷，铝镁锰彩涂铝卷,山东合金铝板，防锈合金铝卷，拉丝合金铝板,合金铝卷生产，拉伸合金铝板，宽厚合金铝板,宽厚合金铝板，山东合金铝卷，油罐专用铝板,管道保温合金铝卷，油箱合金铝板，合金铝卷,涂层合金铝卷，铝卷带，压型铝板生产，铝卷,氟碳彩涂铝卷生产，铝镁锰涂层铝卷生产,合金铝卷厂家生产，山东电厂瓦楞铝板生产"	山东平阴恒顺铝业有限公司
山东省济南市高新区汉峪金谷	86-0531-85708700	86-0531-85708700	13283347477@qq.com	http://minghulvye.alu.cn/	"1060铝板,3003铝板,5052铝板,6061铝板,铝卷,铝棒,铝线"	济南明湖铝业有限公司
广州市番禺区石基镇桥山村竹园岗1号	86-020-13798186	86--	645995310@qq.com	http://li2008ke.alu.cn/	"雕花铝单板,幕墙铝单板,弧形铝方通天花,铝格珊天花,造型铝窗花,铝扣板天花,矩形方管,铝方管"	广东德普龙建材有限公司
山东省济南市平阴县工业园区	86-0531-87865967	86-0531-87866957	anyong168@163.com	http://pyxaly.alu.cn/	"铝板,铝卷,瓦楞铝板,防滑铝板,标牌铝板,压花铝板,磨花铝板,彩涂铝卷"	山东平阴兴安铝业有限公司
昆山市张浦镇亲和路333号	86-0512-57453589	86-0512-57454342	sales@fjr88.com	http://www.fjr88.com	"切铝锯片,富士凸台超薄锯片,硬质合金锯片,1.8米大锯片,铝棒/铝板锯片,门窗幕墙专用锯片,太阳能光伏专用锯片,锯片修磨及补齿"	昆山丰金锐刀具厂
山东.济南.平阴济西工业园玫瑰路	86-0531-83105068	86-0531-83105069	yonghuilvye@163.com	http://www.yonghuilvye.com	"铝卷&amp;合金铝卷,合金铝板,彩涂铝卷,彩涂铝板,铝带,铝合金压型板,铝合金瓦楞板,压型波纹铝板"	平阴永汇铝业有限公司
龙山开发区	86-531-87876828	86-531-87879328	jnlsly@163.com	www.jnlsly.com	"铝板,铝卷,铝管,铝棒,铝带,铝箔,铝锭,铝线"	济南龙山铝业有限公司
江阴市祝塘镇永昌工业区云顾路200号	86-0510-86396428	86-0510-86396428	1413487703@qq.com	http://tzxinyuanlvye.alu.cn	"工业型材,门窗幕墙型材,系统门窗,阳光房,光伏太阳能边框铝型材等各种铝型材"	（台资）江阴信元铝业有限公司
山东济南济西工业园	86-0531-87895088-053187868978	86-0531-87868978	pyhyly@126.com	http://hengyuanly.cnal.com	"山东优质花纹铝板供应厂家,山东优质合金铝板供应厂家,优质铝卷供应厂家,优质铝板供应厂家,压型瓦楞板、,合金铝板、铝合金板,花纹板、橘皮铝板,电缆桥架专用合金板"	山东平阴恒源铝业有限公司
广州番禺石基镇桥山村竹园岗1号	86-186-20606399	86--	3411468985@qq.com	http://a18620606399.alu.cn/	"铝方通,铝单板,铝窗花,铝蜂窝板,铝格栅,铝条扣,铝天花,铝雕花板"	广东德普龙建材有限公司
佛山市三水乐平工业园	86-0757-87652510	86-0757-87652513	316482345@qq.com	http://zhonglv123.alu.cn	"挤压铝型材,铝合金型材,工业铝型材,散热器铝型材,铝合金制品,铝制品精密加工及氧化,铝型材表面处理"	佛山市三水永裕金属制品有限公司
广州市番禺区大石迎宾路202号	86-186-17318822	86--	992259694@qq.com	http://gjcsob.alu.cn/	"铝方通,铝单板,铝格栅,铝条扣,铝蜂窝板,木纹铝方通,铝窗花,铝挂片"	广州市广京装饰材料有限公司
石基镇桥山村竹园岗1号	86-020-39252998	86-020-39252998	237666520@qq.com	www.dplong.com	"铝单板,铝方通,铝扣板,铝挂片,铝蜂窝板"	广东德普龙建材有限公司
巩义市光明路12号	86-0371-64396399	86-0371-85619229	13837915345@163.com	www.cnkenas.com	"熔铝炉新建快修,99.99%纯铝冶炼用浇注料,不粘铝浇注料,钢纤维浇注料,不粘铝高铝砖、保温砖、蓄热球,铝包溜槽流口砖铝水转子,石英浇注料,刚玉莫来石浇注料"	巩义市凯耐斯高温材料有限公司
清溪镇大利工业区F栋	86-0769-87029319	86-0769-87029319	gdwfly88@163.com	http://www.wfly88.com	"铝板,铝棒,铝线,铝带,铝管,铝排,角铝,铝箔"	广东万发铝业有限公司
江西省南昌市安义县凤凰山开发区	86-0791-83436888	86-0791-83368885	sales@dongyang-alu.com	http://dyly.alu.cn/	"铝型材,铝锭,铝合金,铝塑板,铝塑门窗,铝制品"	江西东阳铝业有限公司
广州番禺石基镇桥山村竹园岗1号	86-186-20606399	86--	3411468985@qq.com	http://a18620606399.alu.cn/	"铝方通,铝单板,铝窗花,铝蜂窝板,铝格栅,铝条扣,铝天花,铝雕花板"	广东德普龙建材有限公司
山东济南济西工业园	86-0531-87895088-053187868978	86-0531-87868978	pyhyly@126.com	http://hengyuanly.cnal.com	"山东优质花纹铝板供应厂家,山东优质合金铝板供应厂家,优质铝卷供应厂家,优质铝板供应厂家,压型瓦楞板、,合金铝板、铝合金板,花纹板、橘皮铝板,电缆桥架专用合金板"	山东平阴恒源铝业有限公司
河北省大城县田庄工业区	86-0316-3267476	86-0316-3267476	haoyakm@126.com	http://www.bf35.com/st22459	"矿棉吸音板,铝天花板,铝条扣天花板,铁格栅天花,铝格栅天花,U型挂片,冲孔铝天花板,烤漆龙骨"	河北兴旺装饰建材厂
山东省淄博市周村区王村	86-0533-6684299	86-0533-6684299	guixiabi@jinpengcarbon.com	www.jinpengcarbon.com	"石墨棒,石墨转子,石墨板,淄博石墨块,石墨管,碳管炉石墨件,石墨阀门"	淄博锦鹏碳素有限公司
广州市番禺区石楼镇官桥村庙仔口工业区之三	86-020-84536565	0086-020-84536565	13712341876@163.com	广州富腾建材	"铝单板,铝窗花,铝花格,弧形铝方通,铝方管,铝圆管,铝网板,铝格栅"	广州富腾建材科技有限公司
河南省郑州市上街区	86-0371-85702226	86-0371-85702226	13803852715@139.com	http://www.yanfenglvcai.com	"工业铝型材,电梯型材,汽车窗框型材,散热器型材,民用型材,晾衣架型材,各种装饰型材,门窗型材"	郑州市颜丰铝材有限公司
山东省济南市平阴县西三里开发区湖溪街1号	86-0531-87851528	86-0531-87855618	hengshungs@126.com	http://www.hengshunlvye.com	"合金铝板，彩涂合金铝卷，铝镁锰彩涂铝卷,山东合金铝板，防锈合金铝卷，拉丝合金铝板,合金铝卷生产，拉伸合金铝板，宽厚合金铝板,宽厚合金铝板，山东合金铝卷，油罐专用铝板,管道保温合金铝卷，油箱合金铝板，合金铝卷,涂层合金铝卷，铝卷带，压型铝板生产，铝卷,氟碳彩涂铝卷生产，铝镁锰涂层铝卷生产,合金铝卷厂家生产，山东电厂瓦楞铝板生产"	山东平阴恒顺铝业有限公司
山东省济南市高新区汉峪金谷	86-0531-85708700	86-0531-85708700	13283347477@qq.com	http://minghulvye.alu.cn/	"1060铝板,3003铝板,5052铝板,6061铝板,铝卷,铝棒,铝线"	济南明湖铝业有限公司
广州市番禺区石基镇桥山村竹园岗1号	86-020-13798186	86--	645995310@qq.com	http://li2008ke.alu.cn/	"雕花铝单板,幕墙铝单板,弧形铝方通天花,铝格珊天花,造型铝窗花,铝扣板天花,矩形方管,铝方管"	广东德普龙建材有限公司
山东省济南市平阴县工业园区	86-0531-87865967	86-0531-87866957	anyong168@163.com	http://pyxaly.alu.cn/	"铝板,铝卷,瓦楞铝板,防滑铝板,标牌铝板,压花铝板,磨花铝板,彩涂铝卷"	山东平阴兴安铝业有限公司
昆山市张浦镇亲和路333号	86-0512-57453589	86-0512-57454342	sales@fjr88.com	http://www.fjr88.com	"切铝锯片,富士凸台超薄锯片,硬质合金锯片,1.8米大锯片,铝棒/铝板锯片,门窗幕墙专用锯片,太阳能光伏专用锯片,锯片修磨及补齿"	昆山丰金锐刀具厂
