地址,电话,传真,公司网址,主营产品,企业名称,数据来源
南京市白下区御道街标营3号,86-025-83767229-,86-025-84405095-,http://www.spectrojs.com,手持式光谱仪+直读光谱仪+磨样机+艾普斯电源+氩气减压阀,南京流金光谱科技有限公司,http://njljgp.alu.cn/supply.html
北京市大兴工业开发区,86-010-61256540,86-010-69268141,www.huitengbj.com,"铝板,铝棒,模具钢,钨钢,电极铜,日本SUS不锈钢,中碳板",北京辉腾韩宇金属材料有限公司,http://huitenghanyu.alu.cn/supply.html
浙江省台州市黄岩区食品工业园,86-0576-84161816,86-0576-84280501,www.hxwheel.cn,"锻造铝轮圈,锻造铝合金轮毂,卡客车铝轮圈,锻造卡客车轮毂,锻造铝轮毂,锻造卡客车铝轮圈,挂车锻造铝轮毂,挂车锻造铝轮圈",浙江戴卡宏鑫科技有限公司,http://cyysr.alu.cn/supply.html
广州市番禺区大石迎宾路202号,86-020-34799706-,86-020-34799706-,http://www.oubuy.com,"铝扣板,铝方通,木纹铝单板,木纹铝方通,铝天花,铝条扣",广州大广铝业装饰材料有限公司,http://ceilingling.alu.cn/supply.html
济南市解放东路61号,86-0531-82378118-,86-0531-82378118-,http://www.huolongwool.com,"硅酸铝陶瓷纤维棉,硅酸铝陶瓷纤维毯,硅酸铝陶瓷纤维板,硅酸铝陶瓷纤维纸,陶瓷纤维模块,折叠块,陶瓷纤维布带绳,隧道窑保温材料","济南火龙热陶瓷有限责任公司 市场部",http://hllzl.alu.cn/supply.html
扬州仪征汽车工业园联众路5号,86-514-80852681,86-0514-89385193,www.cnh2.net,,扬州中电制氢设备有限公司,http://weijialiang.alu.cn/supply.html
http://chosenkind.taobao.com,86-137-11550837-,86---,http://oukun.cn.alibaba.com,"聚丙烯酸钠,增稠剂,食品添加剂,饲料添加剂,改良剂,分散剂,净水絮凝剂,涂料增稠剂",广东省江门市新会区中盛生物科技有限公司,http://shijitong.alu.cn/supply.html
河北华龙(今麦郎)路口东200米路南,86-0319-7588060,86-0319-4238510,http://www.12566.cc,"无心磨床,自动抛光机,方管抛光机,圆管抛光机,带钢抛光机,无心抛光机,多工位抛光机,无心外圆磨床",巨鹿县众联机械有限公司,http://hbxtzljx.alu.cn/supply.html
深圳市坪山新区汤坑工业区乔港公司,86-0755-28221323,86-0755-28221324,http://szqg2001.cn.alibaba.com,"深圳脚手架,深圳出租脚手架,深圳脚手架出售,深圳租建筑架,深圳租钢管架,龙岗买脚手架,横岗售卖脚手架,宝安租钢管架",深圳市乔港脚手架租售有限公司,http://szqg2001.alu.cn/supply.html
河南省安阳市恒大高科有限责任公司,86-0372-8110555-,86---,http://www.ayhdgk.cn/jgs.htm,"电力机具,钢芯铝绞线,电力金具,铁路器材,水钻头,金刚石工程薄壁钻头,钢筋混凝土钻孔机,76/80/90型电动混凝土轨枕改锚机",安阳市恒大高科有限责任公司,http://ayhdgk.alu.cn/supply.html
郑州市圃田经济开发区,86-0371-69527311-,86-0371-69527312-,www.chengpin168.com,"衣柜移门铝型材,包覆铝材,移门铝材,木塑波浪板,同色移门材料,整体家居材料,同色木纹包覆,衣柜推拉门型材",郑州诚品建材有限公司,http://zzcply.alu.cn/supply.html
江苏省无锡市惠山区洛社镇杨市人民西路18号,86-0510-83551263-,86-0510-83558991-,http://wxzxhg.com.w1.05sky.com/cp.htm,浓硝酸槽+不锈钢中间槽+汽车运输槽+船用运输槽+浓硝酸计量槽+硝酸储罐+铝罐,无锡市杨市中兴化工设备厂,http://wuxizxhg.alu.cn/supply.html
广东省佛山市南海区大沥凤池富强四路二号二、五楼,0757-85528110,0757-85528110,http://www.bigjsoft.com,"“管理易”模具制造业电脑化管理系统，“生意通”铝材仓库电脑化管理系统，“计算易”铝门窗加工管理软件，幕墙设计管理软件MAPICS,ERP解决方案，“金龙卡”考勤管理系统",佛山市明致信息科技有限公司,http://bigjsoft.alu.cn/supply.html
广东省佛山市南海区桂城简平路天安数码城二期10楼1004室,86-0757-81851197-,86-0757-81851193-,省佛山市南海区桂城简平路天安数码城二期10楼1004室,http://www.fscqv.com,"铝合金百叶门,铝合金护栏,阳光房,屏风,百叶配件,护栏配件","更多",http://fsyprd.alu.cn/supply.html
河北省泊头市交河工业园,86-0317-5664468-,86-0317-8081767-,http://www.bthxzw.com/,"铸铁平板,铸铁方箱,机床铸件,机床床身,花岗石平板,花岗石量具,精密量具,镁铝平尺",泊头航星铸物量具有限责任公司,http://a8081234.alu.cn/supply.html
